id,Country,Discipline[A1],Discipline[A2],Discipline[A3],Discipline[A4],Discipline[A5],Discipline[A6],Discipline[A7],Discipline[A8],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
244,the United Kingdom of Great Britain and Northern Ireland,Arts and humanities,,,,,,,,,Female,Postdoctoral researcher,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
245,Slovenia,,,,,,,Social sciences,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,,,,,,,,,,Global North
248,France,,,,,,,Social sciences,,,Female,Associate professor,Non-university research institution,11-20,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Disagree,,,,,,,,,,Global North
249,United States of America,,,,,,,,,Education ,Female,Lecturer,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Global North
251,Spain,,,,,,,Social sciences,,,Female,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Global North
252,Spain,,"Business, management and accounting",,,,Psychology,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
253,Mexico,Arts and humanities,,,,,,,,,Female,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Global South
254,Turkey,,,,,,,,,Education ,Male,Professor,University,21+,Some of these articles were also deposited as preprints*,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Agree,Strongly disagree,Disagree,Agree,Disagree,,,,,,,,,,Global North
255,United States of America,Arts and humanities,,,,,,Social sciences,,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
256,Germany,,,,,,Psychology,,,,Female,Postdoctoral researcher,Non-university research institution,3-5,Some of these articles were also deposited as preprints*,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly agree,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,,,,,,,,,,Global North
259,Malaysia,,"Business, management and accounting",,,,,,,,Male,Assistant professor,University,21+,Some of these articles were also deposited as preprints*,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global South
260,France,,,Decision sciences,"Economics, econometrics and finance",,,,,,Male,Professor,Non-university research institution,11-20,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Neutral,Disagree,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
261,Switzerland,,,Decision sciences,,Multidisciplinary,,,,"Engineering, physics  ",Male,Senior researcher,Non-university research institution,21+,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
262,United States of America,,,,,,,Social sciences,,,Female,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Global North
263,United States of America,,"Business, management and accounting",,,Multidisciplinary,Psychology,Social sciences,,,Male,Professor,University,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
264,the United Kingdom of Great Britain and Northern Ireland,,,,,,,Social sciences,,,Male,Professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
265,Portugal,,,,,,Psychology,,,,Female,Business or industry professional,Non-university research institution,21+,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,,,,,,,,,,Global North
266,Brazil,,,,,,,Social sciences,,Anthropology of emotions,Male,Associate professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global South
267,Russian Federation,,,,,,,Social sciences,,,Female,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Global North
268,the United Kingdom of Great Britain and Northern Ireland,,,,,,,Social sciences,,,Male,Associate professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
269,United States of America,,,,,,,Social sciences,,,Female,Phd student/holder,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
270,Sweden,Arts and humanities,,,,,,,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,,,,,,,,,,Global North
272,United States of America,,,,,,,Social sciences,,,Male,Emeritus,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Global North
273,United States of America,Arts and humanities,,,,,,,,,Female,Associate professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Global North
274,Hungary,,"Business, management and accounting",,,,,,,,Female,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
276,Serbia,,,,,Multidisciplinary,Psychology,Social sciences,,,Male,Assistant professor,University,6-10,Some of these articles were also deposited as preprints*,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
277,India,,,,,Multidisciplinary,,,,,Male,Professor,Non-university research institution,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly disagree,Neutral,Global South
278,India,Arts and humanities,,,,,Psychology,,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Global South
279,Germany,,,,,,,Social sciences,,,Female,Postdoctoral researcher,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Global North
281,Sri Lanka,,"Business, management and accounting",,,,,Social sciences,,,Female,Assistant professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
282,Germany,,,,,,,Social sciences,,,Male,Phd student/holder,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Global North
284,Austria,,,,,Multidisciplinary,,,,Computer science,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
285,United States of America,Arts and humanities,,,,,,,,,Male,Assistant professor,University,21+,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
287,Netherlands,,,,,,Psychology,,,,Female,Assistant professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Global North
289,Hungary,Arts and humanities,,,,,,,,,Female,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,,,,,,,,,,Global North
290,France,,,,,,Psychology,,,,Female,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Global North
292,Canada,,,,,,,Social sciences,,,Male,Postdoctoral researcher,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
294,Spain,,,,,,,Social sciences,,Constitutional and european law,Male,Professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,Global North
295,Greece,,,Decision sciences,,Multidisciplinary,,Social sciences,,,Female,Professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Global North
297,United States of America,,,,,,,Social sciences,,,Male,Business or industry professional,Non-university research institution,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
298,Denmark,,,,,,,,,Educational anthropology,Female,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,,,,,,,,,,Global North
299,Netherlands,,,Decision sciences,,,,,,,Prefer not to say,Prefer not to say,University,11-20,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Neutral,Agree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Strongly disagree,Agree,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
300,Canada,,,,,,,Social sciences,,,Female,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Global North
301,United States of America,,,,,,,Social sciences,,,Female,Associate professor,University,3-5,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
303,Poland,,,,"Economics, econometrics and finance",,,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Neutral,Agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
304,United States of America,,,,,,,Social sciences,,,Male,Business or industry professional,Non-university research institution,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Global North
305,United States of America,,,,"Economics, econometrics and finance",,,,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
306,United States of America,,,,,Multidisciplinary,,Social sciences,,Public health,Male,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Neutral,Neutral,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,,,,,,,,,Global North
308,Sweden,,,,"Economics, econometrics and finance",,,,,Statistics,Male,Postdoctoral researcher,University,3-5,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
309,Sweden,,"Business, management and accounting",Decision sciences,"Economics, econometrics and finance",,,Social sciences,,,Male,Retired,Business or industry,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Global North
312,Canada,,,,,,,Social sciences,,,Male,Phd student/holder,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
313,India,,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Global South
314,United States of America,,,,,,Psychology,Social sciences,,,Female,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Global North
315,Germany,,,,"Economics, econometrics and finance",,,,,,Male,Postdoctoral researcher,Non-university research institution,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
316,Switzerland,,,,,,,Social sciences,,,Male,Professor,Non-university research institution,21+,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,,,,,,,,,,,,,,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,Global North
318,Mexico,,,,,Multidisciplinary,,,,,Male,Professor,Non-university research institution,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Global South
319,United States of America,Arts and humanities,,,,,,,,,Male,Associate professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
322,Sweden,,,,,,,,,Cognitive semiotics,Male,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Global North
323,Thailand,,,,,,,Social sciences,,,Female,Professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global South
324,Portugal,,,,,,Psychology,,,,Male,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Global North
325,India,,,,,,,Social sciences,,Sociology,Male,Assistant professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global South
326,Poland,Arts and humanities,,,,,,Social sciences,,,Prefer not to say,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,,,,,,,,,,Global North
327,United States of America,,,,,,,Social sciences,,Education,Male,Researcher,Other,1-2,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
328,United States of America,Arts and humanities,,,,,,,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
332,Australia,,,,,,,Social sciences,,,Male,Lecturer,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Global North
333,Greece,Arts and humanities,,,,,,,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
335,United States of America,,,,"Economics, econometrics and finance",,,Social sciences,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,,,,,,,,,,Global North
336,Canada,Arts and humanities,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Global North
