id,Country,Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
247,Austria,Economics and econometrics,,,,,,Female,Professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
248,Germany,,,,,,Accounting,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Disagree,,,,,,,,,,Global North
249,United States of America,,,,,,Sociology,Female,Professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,,,,,,Global North
250,Belgium,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
251,Brazil,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Global South
252,Colombia,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global South
253,Australia,,,,,,Law,Male,Professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Global North
256,Slovakia,Economics and econometrics,,,,,Management,Female,Assistant professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Global North
257,Philippines,Economics and econometrics,,,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,,,,,,,,,,Global South
259,Canada,,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Strongly agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
260,Italy,,,,"General economics, econometrics and finance",,,Male,Postdoctoral researcher,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
261,United States of America,Economics and econometrics,,,,,Marketing,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,,,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,,,,,Global North
262,United States of America,Economics and econometrics,,,,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,Global North
264,United States of America,,,,"General economics, econometrics and finance",,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Neutral,Strongly disagree,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,,,,,,,,,,Global North
265,India,,,,,Prefer not to say,,Male,Associate professor,University,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly disagree,Strongly disagree,Global South
266,Denmark,Economics and econometrics,,,,,,Male,Professor,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
268,Italy,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,Global North
270,Nigeria,,"Economics, econometrics and finance (miscellaneous)",,,,"Researcher, csr and entrepreneurship",Male,Assistant professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Global South
271,France,,,,,,Linguistics/management,Male,Associate professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Global North
272,Netherlands,Economics and econometrics,,,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,,,,,,,,,,Global North
273,Romania,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
275,Spain,Economics and econometrics,,,,,,Female,Professor,University,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
276,France,Economics and econometrics,,,,,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
277,Italy,,"Economics, econometrics and finance (miscellaneous)",Finance,"General economics, econometrics and finance",,,Male,Postdoctoral researcher,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly disagree,Global North
278,Italy,Economics and econometrics,,,,,,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
279,China,,,,,,Pharmacy,Male,Professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
281,Bulgaria,,,,"General economics, econometrics and finance",,,Male,Assistant professor,Non-university research institution,21+,Some of these articles were also deposited as working paper*,Disagree,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,Global North
282,United States of America,,,,"General economics, econometrics and finance",,,Female,Emeritus,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Global North
284,Belgium,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,Non-university research institution,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,,,,,,,,,,Global North
285,Belgium,Economics and econometrics,,,,,,Female,Business or industry professional,Governmental or international organisation,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
287,Ghana,,,,,,Entrepreneurship ,Male,Phd student/holder,University,6-10,Some of these articles were also deposited as working paper*,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,,,,,,,,,,Global South
288,Croatia,Economics and econometrics,,,,,,Female,Assistant professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Global North
289,India,,,,,,Engineering,Male,Associate professor,Non-university research institution,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Global South
290,Croatia,Economics and econometrics,,,,,,Male,Professor,Non-university research institution,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
291,Switzerland,,,,,,Political sciences,Male,Phd student/holder,University,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
292,Canada,,,,,,Urban economics,Female,Phd student/holder,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
294,Sweden,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,Behavioral economics,Female,Postdoctoral researcher,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
296,Italy,Economics and econometrics,,,,,,Female,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
297,the United Kingdom of Great Britain and Northern Ireland,,,,,,Statistics,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Neutral,,,,,,,,,,Global North
298,United States of America,Economics and econometrics,,,,,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
299,United States of America,,,Finance,,,,Male,Associate professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,Global North
300,United States of America,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,Political economy,Male,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,,,,,,,,,,Global North
301,Italy,Economics and econometrics,,,,,,Male,Professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,Global North
302,United States of America,Economics and econometrics,,,,,,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
303,United States of America,Economics and econometrics,,,,,,Female,Associate professor,University,3-5,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,,,,,,,,,,Global North
304,Poland,Economics and econometrics,,,,,,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
306,Poland,Economics and econometrics,,,,,,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Global North
307,Austria,,,,,,Economic geography,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
308,Norway,,,,,,Marketing,Female,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Global North
309,Germany,Economics and econometrics,,,,,Sustainable food supply chains ,Female,Phd student/holder,University,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Global North
310,Hungary,Economics and econometrics,,,,,Health economics,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,,,,,,,,,,Global North
311,the United Kingdom of Great Britain and Northern Ireland,,,,,,Environmental / ecological economics,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,,,,,,,,,,Global North
312,United States of America,Economics and econometrics,,,,,,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,,,,,,,,,,Global North
313,Germany,,,,,,Computer science,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Neutral,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
314,Spain,,,,,,Urban planning,Female,Professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
315,Netherlands,,,,,,Economic history and sociology ,Male,Professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Global North
316,the United Kingdom of Great Britain and Northern Ireland,,,,,,Sociology,Male,Emeritus,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
317,Italy,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,,,,,,,,,,Global North
318,United States of America,,,,,,Marketing,Female,Associate professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly disagree,Neutral,Global North
319,Kenya,Economics and econometrics,,,,,Development economics,Male,Researcher,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global South
321,Iran (Islamic Republic of),,,,,Prefer not to say,Accounting,Male,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,,,,,,,,,,Global South
322,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,"General economics, econometrics and finance",,,Male,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Neutral,,,,,,,,,,Global North
324,Netherlands,,,,,,Agriculture,Male,Phd student/holder,University,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Strongly disagree,Disagree,Global North
325,Austria,Economics and econometrics,,,,,,Female,Phd student/holder,Non-university research institution,1-2,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly disagree,,,,,,,,,,,,,,,,,,,Global North
327,United States of America,,,,,,Political science,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Global North
