id,submitdate,lastpage,startlanguage,startdate,datestamp,Country,Country[other],Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,CareerStatus[other],Institution,Institution[other],NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],interviewtime,groupTime1260,CountryTime,DisciplineTime,GenderTime,CareerStatusTime,InstitutionTime,groupTime1258,NPublishedCorTime,PDepositedCorTime,groupTime1259,CorSomeComparisonTime,CorComparisonFreeTime,CorSomeDepositedTime,CorAllDepositedTime,CorDepositedFreeTime,CorSomeNotDepositedTime,CorNoneNotDepositedTime,CorNotDepositedFreeTime,groupTime1261,FeedbackSurveyTime,FollowUpParticipantTime,FollowUpEmailTime
247,2020-12-03 14:33:13,4.0,en,2020-12-03 14:24:39,2020-12-03 14:33:13,Austria,,Yes,No,No,No,No,,Female,Professor,,University,,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,515.93,47.89,,,,,,110.17,,,339.45,,,,,,,,,18.42,,,
248,2020-12-03 14:28:42,4.0,en,2020-12-03 14:24:59,2020-12-03 14:28:42,Germany,,No,No,No,No,No,Accounting,Male,Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Disagree,,,,,,,,,,223.8,51.9,,,,,,17.07,,,151.44,,,,,,,,,3.39,,,
249,2020-12-03 14:32:05,4.0,en,2020-12-03 14:27:41,2020-12-03 14:32:05,United States of America,,No,No,No,No,No,sociology,Female,Professor,,University,,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,,,,,,200.24,41.13,,,,,,18.44,,,101.65,,,,,,,,,39.02,,,
250,2020-12-03 14:39:02,4.0,en,2020-12-03 14:29:52,2020-12-03 14:39:02,Belgium,,No,Yes,No,No,No,,Male,Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,552.43,34.06,,,,,,28.65,,,462.5,,,,,,,,,27.22,,,
251,2020-12-03 14:34:01,4.0,en,2020-12-03 14:30:35,2020-12-03 14:34:01,Brazil,,Yes,Yes,Yes,No,No,,Male,Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,208.56,62.88,,,,,,58.76,,,68.68,,,,,,,,,18.24,,,
252,2020-12-03 14:38:36,4.0,en,2020-12-03 14:30:56,2020-12-03 14:38:36,Colombia,,No,Yes,No,No,No,,Male,Assistant Professor,,University,,3-5,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,462.68,260.26,,,,,,14.74,,,168.78,,,,,,,,,18.9,,,
253,2020-12-03 14:35:15,4.0,en,2020-12-03 14:31:33,2020-12-03 14:35:15,Australia,,No,No,No,No,No,Law,Male,Professor,,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,224.36,42.45,,,,,,44.55,,,85.51,,,,,,,,,51.85,,,
254,,,en,2020-12-03 14:32:29,2020-12-03 14:32:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
255,,,en,2020-12-03 14:34:39,2020-12-03 14:34:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
256,2020-12-03 14:40:30,4.0,en,2020-12-03 14:36:03,2020-12-03 14:40:30,Slovakia,,Yes,No,No,No,No,Management,Female,Assistant Professor,,University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,268.36,71.17,,,,,,78.42,,,82.98,,,,,,,,,35.79,,,
257,2020-12-03 14:47:17,4.0,en,2020-12-03 14:36:59,2020-12-03 14:47:17,Philippines,,Yes,No,No,No,No,,Male,Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,,,,,,,,,,619.15,42.25,,,,,,50.42,,,476.4,,,,,,,,,50.08,,,
258,,2.0,en,2020-12-03 14:37:08,2020-12-03 14:37:55,Germany,,No,No,No,No,No,Economic Geography,Male,Postdoctoral researcher,,Non-university research institution,,3-5,Some of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.26,29.33,,,,,,18.93,,,,,,,,,,,,,,,
259,2020-12-03 14:41:34,4.0,en,2020-12-03 14:37:17,2020-12-03 14:41:34,Canada,,No,Yes,Yes,No,No,,Male,Associate Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Strongly agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,257.76,37.29,,,,,,33.66,,,179.86,,,,,,,,,6.95,,,
260,2020-12-03 14:45:14,4.0,en,2020-12-03 14:39:09,2020-12-03 14:45:14,Italy,,No,No,No,Yes,No,,Male,Postdoctoral researcher,,University,,11-20,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,366.36,49.7,,,,,,37.5,,,242.87,,,,,,,,,36.29,,,
261,2020-12-03 14:45:03,4.0,en,2020-12-03 14:40:27,2020-12-03 14:45:03,United States of America,,Yes,No,No,No,No,Marketing,Male,Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,,,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,,,,,279.43,35.7,,,,,,39.69,,,179.96,,,,,,,,,24.08,,,
262,2020-12-03 14:44:27,4.0,en,2020-12-03 14:42:38,2020-12-03 14:44:27,United States of America,,Yes,No,No,No,No,,Male,Assistant Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,111.83,35.66,,,,,,16.81,,,53.74,,,,,,,,,5.62,,,
263,,,en,2020-12-03 14:42:43,2020-12-03 14:42:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
264,2020-12-03 14:47:17,4.0,en,2020-12-03 14:43:56,2020-12-03 14:47:17,United States of America,,No,No,No,Yes,No,,Male,Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Neutral,Strongly disagree,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,,,,,,,,,,203.07,39.06,,,,,,19.81,,,131.65,,,,,,,,,12.55,,,
265,2020-12-03 14:47:31,4.0,en,2020-12-03 14:44:32,2020-12-03 14:47:31,India,,No,No,No,No,Yes,,Male,Associate Professor,,University,,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly disagree,Strongly disagree,250.74,38.69,,,,,,22.12,,,145.13,,,,,,,,,44.8,,,
266,2020-12-03 14:52:33,4.0,en,2020-12-03 14:46:41,2020-12-03 14:52:33,Denmark,,Yes,No,No,No,No,,Male,Professor,,Non-university research institution,,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,,,,,,,,,,354.02,25.16,,,,,,96.38,,,224.87,,,,,,,,,7.61,,,
267,,,en,2020-12-03 14:48:10,2020-12-03 14:48:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
268,2020-12-03 14:53:45,4.0,en,2020-12-03 14:48:59,2020-12-03 14:53:45,Italy,,No,Yes,No,No,No,,Male,Professor,,University,,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,,,,,,,,,,286.51,43.13,,,,,,33.11,,,191.28,,,,,,,,,18.99,,,
269,,,en,2020-12-03 14:49:41,2020-12-03 14:49:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
270,2020-12-03 14:54:08,4.0,en,2020-12-03 14:51:12,2020-12-03 14:54:08,Nigeria,,No,Yes,No,No,No,"Researcher, CSR and Entrepreneurship",Male,Assistant Professor,,University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,177.34,63.93,,,,,,29.1,,,66.11,,,,,,,,,18.2,,,
271,2020-12-03 14:56:08,4.0,en,2020-12-03 14:52:04,2020-12-03 14:56:08,France,,No,No,No,No,No,linguistics/management,Male,Associate Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,244.85,71.05,,,,,,32.99,,,125.35,,,,,,,,,15.46,,,
272,2020-12-03 14:57:03,4.0,en,2020-12-03 14:52:08,2020-12-03 14:57:03,Netherlands,,Yes,No,No,No,No,,Male,Associate Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,,,,,,,,,,296.46,41.41,,,,,,35.21,,,211.22,,,,,,,,,8.62,,,
273,2020-12-03 14:57:24,4.0,en,2020-12-03 14:52:34,2020-12-03 14:57:24,Romania,,Yes,Yes,No,No,No,,Male,Associate Professor,,University,,21+,Some of these articles were also deposited as working paper*,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,292.57,34.97,,,,,,34.5,,,169.24,,,,,,,,,53.86,,,
274,,2.0,en,2020-12-03 14:52:41,2020-12-03 14:53:57,Austria,,Yes,No,No,No,No,,Female,Associate Professor,,University,,3-5,Some of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.55,51.25,,,,,,25.3,,,,,,,,,,,,,,,
275,2020-12-03 15:02:11,4.0,en,2020-12-03 14:59:02,2020-12-03 15:02:11,Spain,,Yes,No,No,No,No,,Female,Professor,,University,,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,190.21,24.37,,,,,,19.11,,,143.25,,,,,,,,,3.48,,,
276,2020-12-03 15:02:04,4.0,en,2020-12-03 14:59:18,2020-12-03 15:02:04,France,,Yes,No,No,No,No,,Male,Assistant Professor,,University,,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,167.97,23.23,,,,,,13.8,,,126.3,,,,,,,,,4.64,,,
277,2020-12-03 15:03:56,4.0,en,2020-12-03 15:01:24,2020-12-03 15:03:56,Italy,,No,Yes,Yes,Yes,No,,Male,Postdoctoral researcher,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly disagree,153.92,43.62,,,,,,25.39,,,68.14,,,,,,,,,16.77,,,
278,2020-12-03 15:07:32,4.0,en,2020-12-03 15:03:46,2020-12-03 15:07:32,Italy,,Yes,No,No,No,No,,Male,Professor,,University,,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,227.85,44.93,,,,,,24.08,,,136.49,,,,,,,,,22.35,,,
279,2020-12-03 15:13:37,4.0,en,2020-12-03 15:08:11,2020-12-03 15:13:37,China,,No,No,No,No,No,pharmacy,Male,Professor,,University,,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,327.68,196.72,,,,,,29.84,,,77.32,,,,,,,,,23.8,,,
280,,1.0,en,2020-12-03 15:08:54,2020-12-03 15:10:00,Germany,,No,No,No,No,No,Environmental Science ,Male,Professor,,Non-university research institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.43,67.43,,,,,,,,,,,,,,,,,,,,,
281,2020-12-03 15:39:05,4.0,en,2020-12-03 15:09:56,2020-12-03 15:39:05,Bulgaria,,No,No,No,Yes,No,,Male,Assistant Professor,,Non-university research institution,,21+,Some of these articles were also deposited as working paper*,Disagree,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,1752.0,68.94,,,,,,119.84,,,1382.33,,,,,,,,,180.89,,,
282,2020-12-03 15:16:15,4.0,en,2020-12-03 15:12:55,2020-12-03 15:16:15,United States of America,,No,No,No,Yes,No,,Female,Other,Professor Emerita,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree,201.05,88.18,,,,,,26.17,,,77.1,,,,,,,,,9.6,,,
283,,2.0,en,2020-12-03 15:14:10,2020-12-03 15:17:54,Poland,,Yes,No,No,No,No,,Male,Associate Professor,,University,,3-5,Some of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.28,86.19,,,,,,138.09,,,,,,,,,,,,,,,
284,2020-12-03 15:23:09,4.0,en,2020-12-03 15:14:30,2020-12-03 15:23:09,Belgium,,No,Yes,No,No,No,,Male,Professor,,Non-university research institution,,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,,,,,,,,,,520.62,42.01,,,,,,130.51,,,323.62,,,,,,,,,24.48,,,
285,2020-12-03 15:18:11,4.0,en,2020-12-03 15:15:20,2020-12-03 15:18:11,Belgium,,Yes,No,No,No,No,,Female,Other,Economist European Commission,Other,European Commission,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,173.04,69.9,,,,,,20.24,,,65.56,,,,,,,,,17.34,,,
286,,,en,2020-12-03 15:18:29,2020-12-03 15:18:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
287,2020-12-03 15:26:47,4.0,en,2020-12-03 15:20:56,2020-12-03 15:26:47,Ghana,,No,No,No,No,No,Entrepreneurship ,Male,PhD student,,University,,6-10,Some of these articles were also deposited as working paper*,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,Agree,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,,,,,,,,,,352.43,52.41,,,,,,54.92,,,213.29,,,,,,,,,31.81,,,
288,2020-12-03 15:25:54,4.0,en,2020-12-03 15:24:16,2020-12-03 15:25:54,Croatia,,Yes,No,No,No,No,,Female,Assistant Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,99.55,31.5,,,,,,13.32,,,39.5,,,,,,,,,15.23,,,
289,2020-12-03 15:32:46,4.0,en,2020-12-03 15:29:43,2020-12-03 15:32:46,India,,No,No,No,No,No,Engineering,Male,Associate Professor,,Non-university research institution,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,184.11,52.31,,,,,,34.27,,,83.99,,,,,,,,,13.54,,,
290,2020-12-03 15:38:11,4.0,en,2020-12-03 15:29:53,2020-12-03 15:38:11,Croatia,,Yes,No,No,No,No,,Male,Professor,,Non-university research institution,,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,500.59,105.29,,,,,,41.67,,,324.89,,,,,,,,,28.74,,,
291,2020-12-03 15:33:04,4.0,en,2020-12-03 15:30:08,2020-12-03 15:33:04,Switzerland,,No,No,No,No,No,Political Sciences,Male,PhD student,,University,,3-5,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,178.55,36.78,,,,,,13.33,,,113.95,,,,,,,,,14.49,,,
292,2020-12-03 15:33:14,4.0,en,2020-12-03 15:30:36,2020-12-03 15:33:14,Canada,,No,No,No,No,No,Urban economics,Female,PhD student,,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,160.33,58.87,,,,,,42.74,,,51.44,,,,,,,,,7.28,,,
293,,,en,2020-12-03 15:31:11,2020-12-03 15:31:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
294,2020-12-03 15:40:27,4.0,en,2020-12-03 15:34:17,2020-12-03 15:40:27,Sweden,,Yes,Yes,No,No,No,behavioral economics,Female,Postdoctoral researcher,,University,,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,372.83,52.95,,,,,,44.57,,,218.9,,,,,,,,,56.41,,,
295,,2.0,en,2020-12-03 15:35:12,2020-12-03 15:36:42,Germany,,No,No,No,No,No,Health Economics,Female,PhD student,,Non-university research institution,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.19,55.56,,,,,,35.63,,,,,,,,,,,,,,,
296,2020-12-03 15:41:10,4.0,en,2020-12-03 15:36:24,2020-12-03 15:41:10,Italy,,Yes,No,No,No,No,,Female,Associate Professor,,University,,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,288.54,52.84,,,,,,30.57,,,173.16,,,,,,,,,31.97,,,
297,2020-12-03 15:48:19,4.0,en,2020-12-03 15:36:40,2020-12-03 15:48:19,the United Kingdom of Great Britain and Northern Ireland,,No,No,No,No,No,Statistics,Male,Professor,,University,,21+,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Neutral,,,,,,,,,,563.14,101.77,,,,,,185.43,,,266.87,,,,,,,,,9.07,,,
